user_id,lang,ref_link,balance,ref_count,wallet,balance_q,current_task
31015025,ru,https://t.me/b1coin_bot?start=31015025,1250,0,...,350,13
37664386,ru,https://t.me/b1coin_bot?start=37664386,0,0,...,0,0
48543889,ru,https://t.me/b1coin_bot?start=48543889,0,0,...,0,0
52608961,ru,https://t.me/b1coin_bot?start=52608961,200,1,...,0,0
72038379,ru,https://t.me/b1coin_bot?start=72038379,0,0,...,0,0
79890449,ru,https://t.me/b1coin_bot?start=79890449,1050,1,...,350,12
80788588,ru,https://t.me/b1coin_bot?start=80788588,0,0,...,0,0
92536397,ru,https://t.me/b1coin_bot?start=92536397,0,0,...,0,0
92864074,ru,https://t.me/b1coin_bot?start=92864074,200,1,...,0,0
104844766,ru,https://t.me/b1coin_bot?start=104844766,0,0,...,0,0
108794197,ru,https://t.me/b1coin_bot?start=108794197,2400,2,...,350,17
119898427,ru,https://t.me/b1coin_bot?start=119898427,0,0,...,0,0
120182412,ru,https://t.me/b1coin_bot?start=120182412,0,0,...,0,0
121724618,ru,https://t.me/b1coin_bot?start=121724618,2750,5,UQCQ1IjoPLHZiOQBV2gi2a1tT-H4ZReoo8ur8q6Vnj5XpOe6,350,16
122306987,ru,https://t.me/b1coin_bot?start=122306987,0,0,...,0,0
137062483,ru,https://t.me/b1coin_bot?start=137062483,2200,1,UQAf86SLCSxRTrVN1jXxdcdY2aHEqZPMbM707z2mFO2mYT0J,350,17
144433588,ru,https://t.me/b1coin_bot?start=144433588,0,0,...,0,0
147201333,ru,https://t.me/b1coin_bot?start=147201333,400,2,...,0,0
161773933,ru,https://t.me/b1coin_bot?start=161773933,2350,3,...,350,12
185010966,ru,https://t.me/b1coin_bot?start=185010966,1950,1,...,350,12
204205902,ru,https://t.me/b1coin_bot?start=204205902,700,1,...,0,2
214040725,ru,https://t.me/b1coin_bot?start=214040725,1700,0,...,350,17
219328304,ru,https://t.me/b1coin_bot?start=219328304,1600,4,UQBqxOe+rKsslh7DPEU0t9GTHGGnhgZytXsIel84a7Lt_jXe,300,12
231330763,ru,https://t.me/b1coin_bot?start=231330763,0,0,...,0,0
244691775,ru,https://t.me/b1coin_bot?start=244691775,0,0,...,0,0
247972282,ru,https://t.me/b1coin_bot?start=247972282,0,0,...,0,0
249811129,ru,https://t.me/b1coin_bot?start=249811129,400,1,...,0,1
254283575,ru,https://t.me/b1coin_bot?start=254283575,0,0,...,0,0
256447900,ru,https://t.me/b1coin_bot?start=256447900,0,0,...,0,0
256658351,ru,https://t.me/b1coin_bot?start=256658351,0,0,...,0,0
257746365,ru,https://t.me/b1coin_bot?start=257746365,0,0,...,0,0
258374945,ru,https://t.me/b1coin_bot?start=258374945,0,0,...,0,0
258797456,ru,https://t.me/b1coin_bot?start=258797456,0,0,...,0,0
260845747,ru,https://t.me/b1coin_bot?start=260845747,5100,17,...,300,12
277915864,ru,https://t.me/b1coin_bot?start=277915864,200,1,...,0,0
282906439,ru,https://t.me/b1coin_bot?start=282906439,500,0,...,0,3
286281221,ru,https://t.me/b1coin_bot?start=286281221,2150,2,...,350,13
305911495,ru,https://t.me/b1coin_bot?start=305911495,0,0,...,0,0
311948930,ru,https://t.me/b1coin_bot?start=311948930,0,0,...,0,0
326352197,ru,https://t.me/b1coin_bot?start=326352197,200,0,...,0,1
328439942,ru,https://t.me/b1coin_bot?start=328439942,0,0,...,0,0
331801649,ru,https://t.me/b1coin_bot?start=331801649,200,1,...,0,0
334709421,ru,https://t.me/b1coin_bot?start=334709421,0,0,...,0,0
341511082,ru,https://t.me/b1coin_bot?start=341511082,2000,0,...,350,17
343825172,ru,https://t.me/b1coin_bot?start=343825172,0,0,...,0,0
343856822,ru,https://t.me/b1coin_bot?start=343856822,0,0,...,0,0
361236671,ru,https://t.me/b1coin_bot?start=361236671,0,0,...,0,0
367858366,ru,https://t.me/b1coin_bot?start=367858366,0,0,...,0,0
368019136,ru,https://t.me/b1coin_bot?start=368019136,1950,1,UQA8ES54eSYj0avM29Y_XOTlr2-erYNpktTiOIdB0ST2fKAO,350,16
378886507,ru,https://t.me/b1coin_bot?start=378886507,1550,0,...,350,17
381905606,ru,https://t.me/b1coin_bot?start=381905606,2200,0,...,350,16
385831530,ru,https://t.me/b1coin_bot?start=385831530,1750,0,...,350,13
391187847,ru,https://t.me/b1coin_bot?start=391187847,1900,1,...,300,17
398387421,ru,https://t.me/b1coin_bot?start=398387421,0,0,...,0,0
403087781,ru,https://t.me/b1coin_bot?start=403087781,1950,2,...,350,12
404231632,ru,https://t.me/b1coin_bot?start=404231632,3800,8,UQDheWEoqbj8hgMU3Xd3NtXw-T1S2JNpjBJYQuJLzgezcl2M,350,17
404788427,ru,https://t.me/b1coin_bot?start=404788427,1050,1,...,350,17
408792425,ru,https://t.me/b1coin_bot?start=408792425,4800,13,UQDibG10ApOXrKKesAgB7lnatCTELCYCs5537qgsGU-_anp4,350,16
411407896,ru,https://t.me/b1coin_bot?start=411407896,1950,1,...,350,13
411895819,ru,https://t.me/b1coin_bot?start=411895819,0,0,...,0,0
414213587,ru,https://t.me/b1coin_bot?start=414213587,0,0,...,0,0
418520176,ru,https://t.me/b1coin_bot?start=418520176,0,0,...,0,0
420621853,ru,https://t.me/b1coin_bot?start=420621853,0,0,...,0,0
426039848,ru,https://t.me/b1coin_bot?start=426039848,3200,5,...,350,16
427073196,ru,https://t.me/b1coin_bot?start=427073196,0,0,...,0,0
427107156,ru,https://t.me/b1coin_bot?start=427107156,200,0,...,0,1
434173757,ru,https://t.me/b1coin_bot?start=434173757,0,0,...,0,0
